Nomor,Caption,Gambar
1,"Ready
*Alpukat mentega lamtim super*
Harga 30rb/kg
5kg 29rb/kg
Rasa mentega, Manis legit. No zonk. 1 kg isi 3-4pc",1.jpeg
2,"Ready
*melon intanon hidroponik*
Harga 30rb/kg
Dusan japrie 1 dus 20kg
Rasanya manis mantul garing.
Datang, Barang baru.",2.jpeg
3,"*Ready anggur Autumn adora*
Harga 70rb 900gr
Sedus 630rb 9kg isi 10bag
Manis lembut wangi non biji",3.jpeg
4,"Ready
*mangga manalagi madu super*
harga 15rb/kg
rasanya manis legit",4.jpeg
5,"Ready
*Alpukat mentega lamtim super*
Harga 30rb/kg
5kg 29rb/kg
Rasa mentega, Manis legit. No zonk. 1 kg isi 3-4pc",5.jpeg
6,"Ready
*udang kupas*/ cook
Harga 30rb/pc
Praktis sudah bersih.",6.jpeg
7,"*Ready paket kuker premium*
Harga 140rb
Isi 3
berat pertoples 500gr",7.jpeg
8,"Ready
*strawberry fresh*
Harga 25rb/mika
Strawberie ciwidei
Ukuran kurleb --+ 1 kg",8.jpeg
9,"Ready
*jambu citra demak grade A*
Harga 35rb/kg
Daging tebal rasanya manis cruncy ukuran besar.",9.jpeg
10,"Ready cireng mix isi bakso mercon, ayam suwir, keju
15rb isi 7pcs",10.jpeg
11,"Ready
es teller zheka
Ecer 18rb/cup
Isian full",11.jpeg
12,"Ready
*ceker tatul bersih*
Harga 25rb/bok
Kolian 23rb/bok isi 80-85 bok
Ceker tanpa tulang sudah bersih",12.jpeg
13,"Ready
*nanas madu pati*
Satuan 12rb/pc
Rasanya manis banyak air",13.jpeg
14,"Ready
*Mangga harum manis jumbo*
Harga 35rb/kg
Ukuran besar, rasanya manis.",14.jpeg
15,"Ready
*jeruk sunkist navel orange*
Harga 35rb/kg
Sekrat 400rb
Berat 14kg
Jeruk peras manis. Banyak air.",15.jpeg
16,"Ready
*lengkeng bangkok jumbo*
Ecer 45rb/kg
Sekrat 430rb 12kg
Rasanya manis daging tebal",16.jpeg
17,Ready best seller *dimsum imperial + saoce harga 27rb/pc*.isi 1 pack 25pc,17.jpeg
18,"*Ready anggur crimson*
Harga 65rb 900gr
Sedus 600rb 9kg isi 10bag
Manis lembut wangi non biji",18.jpeg
19,"Ready
*buah pepaya Kalifornia*
1 kg 19rb
Rasanya manis, berat mengikuti timbangan.",19.jpeg
20,"Ready
*Abon ratuku*
Harga 12rb/pc
Grosir 10pc 100rb
Abon. Kemasan 100gr.",20.jpeg
21,"Ready
*pier celin pack*
Harga 35rb pack 800gr
Sedus 280rb isi 10pack
Rasanya manis garing",21.jpeg
22,"Ready
*pier packam hijau pack*
Harga 35rb/pack
Sedus 280rb isi 10pack
Rasanya manis garing. Kaya jambu",22.jpeg
23,"Ready
*Aneka hokben*
Harga all varian 19rb
Udang keju 20rb
Udang rambutan 20rb
Berasa ayam. Bersetifikat halal.soal rasa bisa diadu.",23.jpeg
24,"Ready Mangga mahathir
Harga 25rb/kg",24.jpeg
25,"Ready
*mangga gedong*
Harga 30rb/kg
Gedong gincu asli Indramayu. Rasanya manis. Wangi tdk berserat.",25.jpeg
26,"Ready
*durpas montong bali*
Harga 60rb/box
Min 10box 58rb
Kolian 55rb/box
Rasanya manis legit biji kecil
Bergaransi hambar dan masam",26.jpeg
27,"Ready champ nugget 450gr 33rb
Champ Crunchy 450gr 33rb
Sosis champ 375gr 18rb
Peraktis tinggal goreng",27.jpeg
28,"Ready krukul sapi ECER 18rb, grosir 17rb min beli 10 PC
Krupuk rambak 15rb",28.jpeg
29,"*Ready pempek premium
isi 10*
Harga 50rb
berasa bgt ikannya mantul",29.jpeg
30,"*Ready Apple fuji*
eceran 1 kg 35rb
sedus 500rb berat 17kg
apel manis garing",30.jpeg
31,"Ready tahu bakso isi 10
Harga 18rb/pack
Enakk",31.jpeg
32,"Ready Bebek potong
Harga 42rb
Berat 1kg kurleb
Sudah bersih tinggal goreng",32.jpeg
33,"*Ready dimsum goreng keju lumer*
Harga 22rb
Enak lumer dimulut",33.jpeg
34,"Ready
*cumi ring bersih*
Harga 32rb/pack",34.jpeg
35,"Ready
Ayam karkas 1kg-1.1kg
Harga 40rb",35.jpeg
36,"Dimsum keju lumer (Frozen)
Isi 5 Pcs + Saus
Bisa untuk digoreng/kukus
20.000",36.jpeg
37,"Ready
*1 ekor ayam kampung ungkep*
Harga 65rb/bok
Ukuran 1 ekor ayam kemasan twinwall 1500 ml.
Ayam kampung ungkep siap goreng bonus sambel terasi.",37.jpeg
38,"Ready
*1 ekor ayam kampung ungkep*
Harga 65rb/bok
Ukuran 1 ekor ayam kemasan twinwall 1500 ml.
Ayam kampung ungkep siap goreng bonus sambel terasi.",38.jpeg
39,"Opak Singkong Nedi
Isi 20 Pcs
Toples 5L
32.000",39.jpeg
40,"*Daging durian lokal*
1kg 60rb
*Rasa manis legit, wangi serasa makan durian tanpa biji*",40.jpeg
41,"READY
Risol Sosis Solo
Harga 27rb/
Tinggal goreng isi 7pcs",41.jpeg
42,"Ready shifudo/fiesta
- shifudo fish roll 500gr @25rb
- mozza ball 500gr @35rb
- cheese dumpling 500gr 25rb
- mix dumpling 500gr 25rb
- fiesta ebifurai 30rb
- chikuwa mini 500gr 26rb
- redsos Mayo 1kg 24rb
- redsos saus bbq 400gr 13rb
- sosis max mini 27rb
Terbuat dari ikan dengan bahan pilihan. Grosir harga beda dari harga ecer.",42.jpeg
43,"Ready saus blibis 1kg
Harga 25rb",43.jpeg
44,"Ready
*Cookies sekat 5 varian*
Harga 90rb/toples
berat 1 kg
Premium mix rasanya enak.ga ngecewain",44.jpeg
45,"Ready kacang sekat
Harga 40
Ada 5 varian Enak garing",45.jpeg
46,"Promo parcel lebaran
85k-170k",46.jpeg
47,"Promo parcel lebaran
85k-170k",47.jpeg
48,"*hampers prioritas*
*Harga 55rb / paket*
Readyy cookies prioritas ada 6 macam cookies
- cookies keju
- cookies salju
- kue kacang
- kue nastar
- kue semprit
Rasanya enak,cocok buat hantaran sanak keluarga",48.jpeg
49,"*ready sate seafood cedea*
Sebungkus dapet 10 tusuk
Ecer 10rb
Grosir min 50 8rb
ada variasi karakter seafood dumpling dan udang di kemasan sate",49.jpeg
50,"Ready
*Abon juara*
Harga 20rb/pc
Abon. Kemasan 100gr.",50.jpeg
51,"*Ready beras Ramos*
5kg 80rb
Grosir dilist",51.jpeg
52,"*Ready sirloin meltiq 1kg*
Harga 130rb",52.jpeg
53,"*Ready Saikoro Meltiq 1kg*
Harga 110rb",53.jpeg
54,"Otak otak Sanjaya 1kg 18rb
Bakso super polos isi 50 24rb",54.jpeg
55,"Otak otak Sanjaya 1kg 18rb
Bakso super polos isi 50 24rb",55.jpeg
56,"*kebab premium king isi 8pc*
Harga 27rb/bok
Isi 8pc
Tersedia ori, sedang, pedas",56.jpeg
57,"*Ready Mama suka nuget Crunchy free odeng*
Uk 400gr@38rb/pack
Renyah crispy enak Ada bulir tepung seperti bubble",57.jpeg
58,"Ready
*udang kupas*/ cook
Harga 30rb/pc
Praktis sudah bersih.",58.jpeg
59,"Ready
*chocolate karakter + isi*
Harga 35rb/toples
100rb/ 3 toples
Choclate premium + isian menggunakan bahan premium asli sehingga rasanya enak tdk getir. Dan banyak pilihan karakter.",59.jpeg
60,"READY
*Ayam kampung jumbo +isian*
Harga 55rb/ekor
Ayam kampung berat kurleb 1.2 kg  sudah sama isian jeroan
Yg mau kolian japri",60.jpeg
61,"Ready
Rengginang 17rb /bks isi 30
Garing renyah. Tanpa dijemur lg",61.jpeg
62,"Ready sosis hotel jumbo
27rb
Isi 13pc",62.jpeg
63,"Ready *ayam petelur fresh + jeroan*
harga 55rb/ekor
berat kurleb 1.1-1.4kg",63.jpeg
64,"Ready
*udang ronggeng* 1kg
Harga 25rb/box",64.jpeg
65,"Ready *kiwi ijo pack*
Harga 30rb/pack
1kg 55rb
Sedus 430 9kg
Rasanya manis segar banyak vitaminnya",65.jpeg
66,"Ready
*Puding kelapa klamud ori dan buah*
*Ecer buah 23rb, kolian 20rb/PC*
*Ecer orie 20rb, Kolian 18rb*
Bisa di mix
Pukel fresh langsung dikirim dari petani tiap hari.karena dibuat dadakan.yg pesan grosir dilist PO sehari sebelumnya TDK bisa ddkn",66.jpeg
67,"Ready bakso warisan isi 50pcs
Harga 27rb
Daging sapi asli enak",67.jpeg
68,"*Ready pilus keju*
Harga 20rb
1ball 500gr
Enak gurih",68.jpeg
69,Aneka snack jawa 15rb,69.jpeg
70,"*Ready anggur Autumn adora*
Harga 70rb 900gr
Sedus 630rb 9kg isi 10bag
Manis lembut wangi non biji",70.jpeg
71,"Ready
*nuget so eco*
1kg 33rb
Sedus 185rb isi 6
500gr 18rb
Rasanya enak. Kruncy",71.jpeg
72,"Ready masuk apel ijo ecer 30rb/kg
Sedus 450rb 17kg",72.jpeg
73,"Ready
*pier packam hijau pack*
Harga 35rb/pack
Sedus 280rb isi 10pack
Rasanya manis garing. Kaya jambu",73.jpeg
74,"Ready
*Santang daun fresh*
Harga 45rb/kg
Sekrat 220rb
Berat 6kg
Rasanya manis segarr",74.jpeg
75,"Ready
*melon intanon hidroponik*
Harga 30rb/kg
Dusan japrie 1 dus 20kg
Rasanya manis mantul garing.
Datang, Barang baru.",75.jpeg
76,"Ready
*jambu citra demak grade A*
Harga 35rb/kg
Daging tebal rasanya manis cruncy ukuran besar.",76.jpeg
77,"Ready
*Dukuh palembang*
Harga 30rb/kg
Asli palembang. Rasanya manis.",77.jpeg
78,"Ready
*mangga gedong*
Harga 30rb/kg
Gedong gincu asli Indramayu. Rasanya manis. Wangi tdk berserat.",78.jpeg
79,"Ready manggis
Harga 25rb/kg
Maniss",79.jpeg
